tipo_red,fecha,configuracion,segundos_entrenamiento,epoca,error_train,error_test,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
ANN,2022-09-23 14:39:42.747228,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_porcentajesDropOut=[0.4; 0.4; 0.4; 0.4; 0.4; 0.4; 0.4; 0.4]_aplicarBatchNormalization=True_batchSize=32_optimizador=adam_paciencia=-1,149.6836473941803,50.0,171878.10974059495,170589.46987431552,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:51:53.553741,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_normal_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,66.13777136802673,50.0,51369.15806201227,55989.74306067139,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:53:00.400589,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=random_normal_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,66.49684929847717,50.0,54215.76567752226,56144.03419776673,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:54:05.936246,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=random_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,65.35662531852722,50.0,56116.27927794215,57706.20209301596,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:55:10.259482,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=he_normal_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,64.16431140899658,50.0,48634.91815558036,58922.11320039362,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:56:22.167161,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=he_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,71.76060676574707,50.0,48563.80611113589,62632.637115165446,---,---,---,---,---,---,---,---
ANN,2022-09-23 15:16:47.670372,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=2048_optimizador=adam_paciencia=-1,19.399003267288208,150.0,58419.89578902037,57953.41356641557,---,---,---,---,---,---,---,---
ANN,2022-09-23 15:33:25.325516,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=8_optimizador=adam_paciencia=-1,890.0402007102966,200.0,34670.76878293875,69322.27070718327,---,---,---,---,---,---,---,---
ANN,2022-09-23 15:41:21.684911,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=16_optimizador=adam_paciencia=-1,476.06212091445923,200.0,35568.86908519865,68746.41261913236,---,---,---,---,---,---,---,---
ANN,2022-09-23 15:47:54.011107,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=64_optimizador=adam_paciencia=-1,148.7902615070343,200.0,45448.70198366506,61876.30706498247,---,---,---,---,---,---,---,---
