tipomodelo,fecha,configuracion,error_train,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
SVM,2022-06-25 20:29:15.828589,SVM_regularizacionC=4.0_kernel=poly_grado=5,,0.8804920913884007,0.84688995215311,0.8309859154929577,0.8388625592417062,0.7832167832167832,0.7704918032786885,0.734375,0.7519999999999999
SVM,2022-06-25 20:29:15.858591,SVM_regularizacionC=4.0_kernel=poly_grado=7,,0.8804920913884007,0.864321608040201,0.8075117370892019,0.8349514563106796,0.7832167832167832,0.7704918032786885,0.734375,0.7519999999999999
SVM,2022-06-25 20:29:15.898609,SVM_regularizacionC=4.0_kernel=rbf,,0.8681898066783831,0.9058823529411765,0.7230046948356808,0.804177545691906,0.8111888111888111,0.8627450980392157,0.6875,0.7652173913043478
SVM,2022-06-25 20:29:15.927610,SVM_regularizacionC=4.0_kernel=sigmoid,,0.6028119507908611,0.4688995215311005,0.460093896713615,0.46445497630331756,0.6083916083916084,0.5714285714285714,0.5,0.5333333333333333
SVM,2022-06-25 20:38:22.870938,SVM_regularizacionC=0.5_kernel=poly_grado=2,,0.836555360281195,0.8061224489795918,0.7417840375586855,0.7726161369193154,0.8111888111888111,0.8032786885245902,0.765625,0.784
SVM,2022-06-25 20:38:22.908122,SVM_regularizacionC=0.5_kernel=poly_grado=3,,0.8523725834797891,0.8241206030150754,0.7699530516431925,0.7961165048543689,0.8041958041958042,0.7903225806451613,0.765625,0.7777777777777778
SVM,2022-06-25 20:38:22.970102,SVM_regularizacionC=0.5_kernel=poly_grado=4,,0.8541300527240774,0.9391891891891891,0.6525821596244131,0.7700831024930747,0.7972027972027972,0.8888888888888888,0.625,0.7339449541284404
SVM,2022-06-25 20:38:23.037102,SVM_regularizacionC=0.5_kernel=rbf,,0.836555360281195,0.803030303030303,0.7464788732394366,0.7737226277372262,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:38:23.082872,SVM_regularizacionC=1.0_kernel=poly_grado=2,,0.8347978910369068,0.8051282051282052,0.7370892018779343,0.7696078431372549,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:38:23.125874,SVM_regularizacionC=1.0_kernel=poly_grado=4,,0.8611599297012302,0.8284313725490197,0.7934272300469484,0.8105515587529977,0.7972027972027972,0.7777777777777778,0.765625,0.7716535433070867
SVM,2022-06-25 20:38:23.191103,SVM_regularizacionC=1.5_kernel=poly_grado=2,,0.836555360281195,0.8092783505154639,0.7370892018779343,0.7714987714987716,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:38:23.240149,SVM_regularizacionC=1.5_kernel=poly_grado=3,,0.8523725834797891,0.8241206030150754,0.7699530516431925,0.7961165048543689,0.8181818181818182,0.8064516129032258,0.78125,0.7936507936507936
SVM,2022-06-25 20:38:23.272761,SVM_regularizacionC=1.5_kernel=poly_grado=4,,0.8629173989455184,0.8292682926829268,0.7981220657276995,0.8133971291866029,0.7972027972027972,0.7777777777777778,0.765625,0.7716535433070867
SVM,2022-06-25 20:38:23.329061,SVM_regularizacionC=1.5_kernel=rbf,,0.8523725834797891,0.8307692307692308,0.7605633802816901,0.7941176470588235,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:41:01.308444,SVM_regularizacionC=0.05_kernel=rbf,,0.7258347978910369,0.9672131147540983,0.27699530516431925,0.43065693430656937,0.6643356643356644,1.0,0.25,0.4
SVM,2022-06-25 20:41:01.363451,SVM_regularizacionC=0.1_kernel=rbf,,0.8242530755711776,0.8791946308724832,0.6150234741784038,0.723756906077348,0.7762237762237763,0.8478260869565217,0.609375,0.709090909090909
SVM,2022-06-25 20:41:01.446034,SVM_regularizacionC=0.4_kernel=rbf,,0.836555360281195,0.803030303030303,0.7464788732394366,0.7737226277372262,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:41:01.512034,SVM_regularizacionC=0.7_kernel=rbf,,0.8453427065026362,0.8205128205128205,0.7511737089201878,0.7843137254901961,0.8041958041958042,0.8,0.75,0.7741935483870969
SVM,2022-06-25 20:42:46.558412,SVM_regularizacionC=0.1_kernel=poly_grado=2,,0.7644991212653779,0.8691588785046729,0.43661971830985913,0.5812499999999999,0.7272727272727273,0.9310344827586207,0.421875,0.5806451612903226
SVM,2022-06-25 20:42:46.592569,SVM_regularizacionC=0.1_kernel=poly_grado=3,,0.7170474516695958,0.9482758620689655,0.25821596244131456,0.40590405904059046,0.6433566433566433,0.9333333333333333,0.21875,0.35443037974683544
SVM,2022-06-25 20:42:46.641443,SVM_regularizacionC=0.1_kernel=poly_grado=4,,0.7065026362038664,0.9423076923076923,0.2300469483568075,0.36981132075471695,0.6293706293706294,0.9230769230769231,0.1875,0.3116883116883117
SVM,2022-06-25 20:42:46.675503,SVM_regularizacionC=0.1_kernel=poly_grado=5,,0.6977152899824253,0.9361702127659575,0.20657276995305165,0.3384615384615385,0.6083916083916084,0.9,0.140625,0.24324324324324326
SVM,2022-06-25 20:42:46.705979,SVM_regularizacionC=5_kernel=poly_grado=2,,0.8471001757469244,0.8579545454545454,0.7089201877934272,0.7763496143958869,0.8111888111888111,0.8363636363636363,0.71875,0.7731092436974789
SVM,2022-06-25 20:42:46.743186,SVM_regularizacionC=5_kernel=poly_grado=3,,0.8664323374340949,0.8959537572254336,0.7276995305164319,0.8031088082901554,0.8181818181818182,0.8518518518518519,0.71875,0.7796610169491525
SVM,2022-06-25 20:42:46.821640,SVM_regularizacionC=5_kernel=poly_grado=4,,0.875219683655536,0.8480392156862745,0.812206572769953,0.829736211031175,0.7902097902097902,0.765625,0.765625,0.765625
SVM,2022-06-25 20:42:46.856714,SVM_regularizacionC=5_kernel=poly_grado=5,,0.8840070298769771,0.855072463768116,0.8309859154929577,0.8428571428571429,0.7762237762237763,0.7758620689655172,0.703125,0.7377049180327868
SVM,2022-06-25 20:42:46.912352,SVM_regularizacionC=10_kernel=poly_grado=2,,0.8488576449912126,0.8757396449704142,0.6948356807511737,0.774869109947644,0.8111888111888111,0.8936170212765957,0.65625,0.7567567567567568
SVM,2022-06-25 20:42:46.950321,SVM_regularizacionC=10_kernel=poly_grado=3,,0.8769771528998243,0.9132947976878613,0.7417840375586855,0.8186528497409328,0.8041958041958042,0.8461538461538461,0.6875,0.7586206896551724
SVM,2022-06-25 20:42:46.981795,SVM_regularizacionC=10_kernel=poly_grado=4,,0.8875219683655536,0.9027027027027027,0.784037558685446,0.8391959798994973,0.7832167832167832,0.8,0.6875,0.7394957983193278
SVM,2022-06-25 20:42:47.049840,SVM_regularizacionC=10_kernel=poly_grado=5,,0.8857644991212654,0.8627450980392157,0.8262910798122066,0.8441247002398082,0.7832167832167832,0.7894736842105263,0.703125,0.743801652892562
